sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
zf-CCHH_500_0 1 0.9375668926150553 0.9319148936170213 0.062433107384944675 0.06808510638297871 (naive) 1.0512820512820513 0.7428571428571429 119.0803 0:01:59 5519.43 123539.05 5131.75 5241.36 1.98 4.64 138.92 234.67
kunitz_1000_2 1 0.9857425742574257 0.9857425742574257 0.01425742574257427 0.01425742574257427 (naive) 1.0 0.9333333333333333 133.5669 0:02:13 6010.59 123546.29 5615.76 5741.00 1.98 5.39 89.77 173.98
lyase_1_20_1 1 0.7888888888888889 0.7869458128078818 0.21111111111111114 0.21305418719211822 (naive) 0.9941291585127201 0.610337972166998 651.2559 0:10:51 6327.76 123540.50 5939.96 6060.43 1.99 3.58 223.07 1536.84
hr_100_1 1 0.9942857142857143 0.9942857142857143 0.005714285714285672 0.005714285714285672 (naive) 1.0 0.9873417721518988 153.3379 0:02:33 5403.69 123536.30 5015.61 5110.32 1.99 4.08 143.24 312.04
flav_200_1 1 0.7961726746773475 0.8187643020594966 0.20382732532265246 0.18123569794050343 (naive) 1.0655737704918034 0.48 183.3912 0:03:03 6058.97 123537.86 5670.75 5764.95 1.99 3.88 162.60 374.85
ghf13_1000_1 1 0.6948607553545152 0.6925207756232687 0.3051392446454848 0.30747922437673125 (naive) 1.0031948881789137 0.3378607809847199 520.1446 0:08:40 7929.38 123604.60 7540.66 7634.94 1.98 6.62 190.20 1062.63
ace_50_3 1 0.7676713790344092 0.7590663325860477 0.23232862096559082 0.24093366741395228 (naive) 0.9916666666666667 0.527681660899654 577.7709 0:09:37 7871.82 123543.21 7755.20 7762.03 1.99 3.59 208.22 1268.39
PDZ_100_1 1 0.8809523809523809 0.8816295157571099 0.11904761904761907 0.1183704842428901 (naive) 1.0 0.696969696969697 162.5190 0:02:42 5486.98 123607.26 5098.15 5198.00 1.99 4.15 133.63 314.79
egf_500_3 1 0.7796217676572752 0.7674772036474165 0.2203782323427248 0.23252279635258355 (naive) 1.028169014084507 0.36764705882352944 126.3466 0:02:06 5913.97 123545.85 5887.86 5894.67 1.98 4.30 121.34 212.53
HLH_100_1 1 0.925686591276252 0.9286871961102107 0.07431340872374803 0.07131280388978933 (naive) 1.0217391304347827 0.8571428571428571 152.6854 0:02:32 5400.52 123546.01 5011.94 5123.47 1.99 4.14 142.27 321.89
