sample success SP-Score Modeler SPFN SPFP Compression Compression TC s h:m:s max_rss max_vms max_uss max_pss io_in io_out mean_load cpu_time
mofe_100_0 1 0.7274639423076923 0.7469916692378895 0.2725360576923077 0.2530083307621105 (naive) 1.0049261083743843 0.4811320754716981 363.2843 0:06:03 9303.75 123597.29 8958.82 9112.67 1.99 5.74 189.79 767.94
Ald_Xan_dh_2_1000_3 1 0.8321441982726249 0.8323004694835681 0.16785580172737513 0.16769953051643194 (naive) 1.0169491525423728 0.6310096153846154 202.2408 0:03:22 6745.91 123526.46 6401.28 6484.39 1.97 7.90 169.20 392.45
HLH_20_0 1 0.9402261712439418 0.9402261712439418 0.05977382875605819 0.05977382875605819 (naive) 1.0 0.8690476190476191 264.5386 0:04:24 6457.07 123532.84 6112.12 6222.63 1.99 5.55 171.38 523.65
flav_20_0 1 0.7779261237205163 0.7803571428571429 0.22207387627948372 0.21964285714285714 (naive) 1.0218579234972678 0.3942857142857143 337.5869 0:05:37 6842.32 123527.63 6803.71 6810.92 1.99 5.25 186.54 700.86
tms_200_3 1 0.9662964381463041 0.9622425629290617 0.03370356185369594 0.03775743707093826 (naive) 0.9943977591036415 0.8736842105263158 273.3543 0:04:33 8107.46 123591.62 7762.46 7872.28 1.99 5.70 173.03 522.65
zf-CCHH_100_0 1 0.8662147698894042 0.8631354425879844 0.13378523011059584 0.13686455741201564 (naive) 1.0256410256410255 0.6 172.2807 0:02:52 6320.25 123589.12 5976.53 6064.09 1.99 5.22 148.03 326.66
myb_DNA-binding_20_0 1 0.9198396793587175 0.9089108910891089 0.08016032064128253 0.09108910891089106 (naive) 1.0 0.75 286.6689 0:04:46 6423.42 110887.22 6103.95 6254.76 9.99 5.22 134.08 388.36
ghf13_1000_0 1 0.6720257234726688 0.6701994673623567 0.32797427652733124 0.3298005326376433 (naive) 1.0143769968051117 0.28183361629881154 421.3525 0:07:01 8522.20 123655.25 8177.05 8260.58 581.96 8.82 209.22 903.17
kringle_1000_0 1 0.9321492007104796 0.9232934553131598 0.06785079928952042 0.07670654468684024 (naive) 1.01 0.7528089887640449 177.7839 0:02:57 6573.09 123658.48 6227.98 6337.89 1.97 6.96 134.06 287.51
oxidored_q6_100_1 1 0.9290697674418604 0.936328125 0.07093023255813957 0.06367187500000004 (naive) 1.0035087719298246 0.8421052631578947 267.1432 0:04:27 6765.46 111137.79 6421.66 6585.14 21.99 5.30 157.18 420.73
oxidored_q6_200_2 1 0.9503875968992248 0.9649744195198741 0.04961240310077519 0.03502558048012594 (naive) 1.0350877192982457 0.8533834586466166 209.9788 0:03:29 6776.48 123591.69 6432.04 6516.73 1.99 5.70 165.56 419.24
ltn_100_3 1 0.9468533369579992 0.9454397394136808 0.053146663042000775 0.05456026058631924 (naive) 1.00711743772242 0.7628458498023716 262.7640 0:04:22 7550.80 123463.55 7206.36 7316.25 1.99 5.73 189.34 560.05
DEATH_50_1 1 0.6913838120104439 0.6885075403016121 0.30861618798955615 0.3114924596983879 (naive) 1.0251572327044025 0.4032258064516129 243.7214 0:04:03 6550.50 123596.93 6206.71 6318.36 1.99 5.36 163.36 483.23
kunitz_50_3 1 0.9572277227722772 0.9572277227722772 0.04277227722772281 0.04277227722772281 (naive) 1.0 0.8 218.4367 0:03:38 6425.09 110902.21 6080.76 6193.21 21.99 5.17 120.39 268.00
uce_100_1 1 0.9078971533516988 0.9225529532518428 0.09210284664830115 0.07744704674815717 (naive) 1.048913043478261 0.5783132530120482 225.2426 0:03:45 6871.90 123463.67 6527.81 6637.66 1.99 5.58 141.90 412.74
ghf13_100_3 1 0.6137664177884353 0.5986604295130767 0.3862335822115647 0.40133957048692326 (naive) 0.9440894568690096 0.2427843803056027 357.2936 0:05:57 8810.24 123591.60 8465.93 8549.12 1.99 5.62 203.55 815.59
Sulfotransfer_50_2 1 0.6417536534446764 0.6385542168674698 0.3582463465553236 0.3614457831325302 (naive) 0.9711286089238845 0.31756756756756754 352.2630 0:05:52 7793.32 123655.63 7470.12 7623.18 1.99 5.68 202.45 813.59
tRNA-synt_2b_1000_0 1 0.4954954954954955 0.4689922480620155 0.5045045045045045 0.5310077519379846 (naive) 0.9122055674518201 0.2180232558139535 244.3714 0:04:04 7230.74 123533.21 6886.13 6971.29 1.97 8.58 141.66 407.28
uce_50_2 1 0.9115702479338843 0.8986150085996198 0.0884297520661157 0.10138499140038015 (naive) 0.9891304347826086 0.5602409638554217 256.0902 0:04:16 6848.33 123525.98 6504.86 6668.16 13.99 5.25 152.15 487.60
ghf10_1000_3 1 0.9214694978092349 0.9327874445581713 0.07853050219076507 0.06721255544182869 (naive) 1.0631868131868132 0.7832817337461301 345.9493 0:05:45 8155.20 123535.82 7810.91 7895.61 1.96 8.68 162.92 598.00
kunitz_500_0 1 0.95009900990099 0.9534976152623211 0.049900990099009945 0.04650238473767887 (naive) 1.015625 0.7666666666666667 157.0611 0:02:37 6464.11 123530.32 6120.18 6230.08 1.98 6.11 122.39 253.35
sodcu_50_1 1 0.8702239789196311 0.8667979002624672 0.1297760210803689 0.13320209973753283 (naive) 0.9940828402366864 0.7168674698795181 275.3048 0:04:35 6895.86 111362.67 6552.04 6635.20 197.99 5.10 149.34 416.14
ltn_200_2 1 0.933260840016311 0.9338955386289445 0.06673915998368896 0.06610446137105552 (naive) 1.0142348754448398 0.7154150197628458 224.1953 0:03:44 7591.90 123590.02 7247.68 7332.25 1.99 5.96 147.41 394.79
